,time_entered_pathway,overall_queue_time,overall_q_time
0,0.0,,120.5000000000001
0,0.056523273522991996,,240.44347672647737
0,0.0917299810871637,,242.30827001891322
0,0.24233531553042692,,242.65766468446995
0,0.2663039309031296,,244.53369606909726
0,0.3983169896663451,,244.90168301033404
0,0.484832229543695,,246.7151677704567
0,0.7558835424772965,,246.94411645752308
0,0.7648468031139475,,248.83515319688644
0,0.9488300432279752,,249.1511699567724
0,0.9765107462284559,,251.02348925377194
0,1.0896500859757208,,251.41034991402466
0,1.1237809500111384,,253.27621904998927
0,1.1725408612906285,,253.72745913870978
0,1.213601867380582,,255.58639813261982
0,1.2668950761275077,,256.0331049238729
0,1.468438446707067,,257.7315615532933
0,1.7063852574978209,,257.9936147425026
0,2.12665091221473,,259.4733490877856
0,2.9628674652590394,,259.13713253474134
0,3.0753414624263185,,260.92465853757403
0,3.094609835753802,,261.4053901642465
0,3.3008841042565367,,263.0991158957438
0,3.3447634874793097,,263.555236512521
0,3.4060450559713993,,265.3939549440289
0,3.551162996695689,,265.74883700330463
0,3.703647120486363,,267.4963528795139
0,3.8373656126000046,,267.86263438740025
0,3.8631978304209116,,269.73680216957933
0,4.1161327780486,,269.98386722195164
0,4.251230032865617,,271.7487699671346
0,4.415455213699238,,272.08454478630097
0,4.423248345429841,,273.97675165457036
0,4.921484641868334,,273.97851535813186
0,5.089795795045662,,275.7102042049545
0,5.1068851538253,,276.19311484617486
0,5.509421627221957,,277.6905783727782
0,5.962864025878339,,277.7371359741218
0,6.024228817909844,,279.5757711820903
0,6.8379062644511865,,279.26209373554894
0,7.435164168773009,,280.56483583122713
0,8.81921150879827,,279.68078849120184
0,9.065603093391173,,281.3343969066089
0,9.129375165524797,,281.7706248344753
0,9.133205372539846,,283.6667946274602
0,9.231033904467841,,284.06896609553223
0,9.454510379926134,,285.7454896200739
0,9.502759888922307,,286.19724011107775
0,9.914484133621368,,287.68551586637864
0,9.950483158547748,,288.1495168414523
0,10.015799777765945,,289.98420022223405
0,10.173193125779719,,290.32680687422027
0,10.17961271952952,,292.22038728047045
0,10.280233203889606,,292.61976679611035
0,10.322008613613972,,294.477991386386
0,10.517879060520373,,294.78212093947957
0,10.90571631832994,,296.29428368167
0,11.235548870534075,,296.46445112946583
0,11.493557730342449,,298.10644226965746
0,11.58136268698626,,298.51863731301364
0,11.636396037146058,,300.3636039628538
0,11.788104591285336,,300.71189540871455
0,11.945793475489364,,302.4542065245105
0,12.002294607736866,,302.897705392263
0,12.160461673358009,,304.63953832664185
0,12.800673616119571,,304.49932638388026
0,12.901414013315108,,306.2985859866847
0,13.211660923745809,,306.488339076254
0,13.219997106689972,,308.38000289330984
0,13.226486248720702,,308.8735137512791
0,13.498929806571503,,310.5010701934283
0,13.777688656704667,,310.72231134329513
0,13.8736488057407,,312.52635119425906
0,14.064326521929617,,312.83567347807013
0,14.320712403804878,,314.47928759619487
0,14.349532135753721,,314.950467864246
0,14.61751565000491,,316.5824843499948
0,14.703126054572863,,316.99687394542684
0,14.883630777535448,,318.7163692224642
0,15.577686353456357,,318.52231364654335
0,15.740547003289134,,320.25945299671054
0,15.846964463730123,,320.65303553626956
